ID	CONCEPT	DOCULECT	SUBGROUP	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	BORROWING	NOTE	SOURCE
210	to bite	Ticuna	Ticuna-Yuri	ngo̰	ngo̰	ŋ o	2187	3625	- ŋ o			bite	Bertet2020
211	bone	Ticuna	Ticuna-Yuri	-ʼchin̋ aʼ̰ a	-ʼchin̋ aʼ̰ a	ʔ tɕ i n + a ʔ + a	290	479 480 481	ʔ tɕ i n + a ʔ + a			bone	Bertet2020
212	to cut	Ticuna	Ticuna-Yuri	wȉ	wȉ	w i	2263	3756	w i			cut	Bertet2020
213	to die	Ticuna	Ticuna-Yuri	yŭ	yŭ	dʑ u	2287	3790	dʑ u			die	Bertet2020
214	dirty	Ticuna	Ticuna-Yuri	ǜʼà	ǜʼà	ɯ ʔ a	373	600	- ɯ ʔ a			be dirty	Bertet2020
215	dog	Ticuna	Ticuna-Yuri	âirű	âirű	aɪ ɾ u	389	636	- aɪ ɾ u			dog	Bertet2020
216	to drink	Ticuna	Ticuna-Yuri	àʼü	àʼü	a ʔ ɯ	2321	3845	a ʔ ɯ			drink	Bertet2020
217	dry (substance)	Ticuna	Ticuna-Yuri	pá	pá	p a	405	2290	p a			be dry	Bertet2020
218	to eat	Ticuna	Ticuna-Yuri	chib́ ǜ	chib́ ǜ	tɕ i b + ɯ	2342	3879 3877	tɕ i b + ɯ			eat	Bertet2020
219	to eat	Ticuna	Ticuna-Yuri	mṵ	mṵ	m u	2349	3886	m u			eat (a raw fruit)	Bertet2020
220	eye	Ticuna	Ticuna-Yuri	-ʼétǜ	-ʼétǜ	ʔ e t ɯ	520	835	ʔ e t ɯ			[-tr.] eye	Bertet2020
221	to fall (drop rather than topple)	Ticuna	Ticuna-Yuri	g̃û	g̃û	ŋ u	2366	3924	ŋ u			fall (sg.)	Bertet2020
222	to fall (drop rather than topple)	Ticuna	Ticuna-Yuri	yì	yì	dʑ i	2371	3929	dʑ i			fall (pl.)	Bertet2020
223	far	Ticuna	Ticuna-Yuri	kòi̋	kòi̋(?)	k o i	553	887	k o i			far away (?)	Bertet2020
224	far	Ticuna	Ticuna-Yuri	yȁʼnà	yȁʼnà	dʑ a ʔ n a	548	882	dʑ a ʔ n a			far away	Bertet2020
225	father	Ticuna	Ticuna-Yuri	-nátǖ	-nátǖ	n a t ɯ	585	934	n a t ɯ			[-tr.] father	Bertet2020
226	father	Ticuna	Ticuna-Yuri	pāpa̋	pāpa̋	p a p a	584	933	p a p a			dad	Bertet2020
227	to fear	Ticuna	Ticuna-Yuri	múü̃̀	múü̃̀	m u ɯ	2379	3952	m u ɯ			be afraid	Bertet2020
228	few	Ticuna	Ticuna-Yuri	nôʼré	nôʼré	n o ʔ ɾ e	625	1003	n o ʔ ɾ e			be few	Bertet2020
229	fish	Ticuna	Ticuna-Yuri	chóʼni̋	chóʼni̋	tɕ o ʔ n i	670	1070	tɕ o ʔ n i			fish	Bertet2020
230	to fly	Ticuna	Ticuna-Yuri	mŭre̋nǖ	mŭre̋nǖ	m u ɾ e n ɯ	2416	4014	m u ɾ e n ɯ			fly	Bertet2020
231	foot	Ticuna	Ticuna-Yuri	-ku̽tǖ	-ku̽tǖ	k u t ɯ	747	1185	k u t ɯ			foot	Bertet2020
232	good	Ticuna	Ticuna-Yuri	mé	mé	m e	791	1267	m e			be good	Bertet2020
233	green	Ticuna	Ticuna-Yuri	ya̰u	ya̰u	dʑ a u	832	1330	dʑ a u			be blue or green	Bertet2020
234	hair	Ticuna	Ticuna-Yuri	-ya̋ē	-ya̋ē	dʑ a e	859	1373	dʑ a e			hair	Bertet2020
235	hand	Ticuna	Ticuna-Yuri	-ʼmḛʼe	-ʼmḛʼe ∼ -mḛ	ʔ m e ʔ e	883	1406	ʔ m e ʔ e			[-tr.] hand	Bertet2020
236	hand	Ticuna	Ticuna-Yuri	-mḛ	-ʼmḛʼe ∼ -mḛ	m e	883	1406	- m e - -			[-tr.] hand	Bertet2020
237	head	Ticuna	Ticuna-Yuri	-e̽rú	-e̽rú	e ɾ u	924	1482	- - - - e ɾ u -			head	Bertet2020
238	to hear	Ticuna	Ticuna-Yuri	iñ̄ ǖ	iñ̄ ǖ	i ɲ + ɯ	2460	2366 4080	i ɲ + ɯ			hear	Bertet2020
239	to hold (in hand)	Ticuna	Ticuna-Yuri	ngî	ngî	ŋ i	2484	4133	ŋ i			hold	Bertet2020
240	how	Ticuna	Ticuna-Yuri	ñùʼã̀kǜ	ñùʼã̀kǜ	ɲ u ʔ a k ɯ	983	1607	- ɲ - u ʔ a k ɯ			how?	Bertet2020
241	to hunt (game)	Ticuna	Ticuna-Yuri	fènǖē	fènǖē	kʷ e n ɯ e	2498	4155	kʷ e n ɯ e			hunt	Bertet2020
242	husband	Ticuna	Ticuna-Yuri	-té	-té	t e	1005	1640	t e			[-tr.] husband	Bertet2020
243	if	Ticuna	Ticuna-Yuri	ēgá	ēgá∼ gá∼ ngēgá	e g a	1016	1660	( - e ) g a			if	Bertet2020
244	if	Ticuna	Ticuna-Yuri	gá	ēgá∼ gá∼ ngēgá	g a	1016	1660	( - - ) g a			if	Bertet2020
245	if	Ticuna	Ticuna-Yuri	ngēgá	ēgá∼ gá∼ ngēgá	ŋ e g a	1016	1660	( ŋ e ) g a			if	Bertet2020
246	to kill	Ticuna	Ticuna-Yuri	dài	dài	d a i	2516	4186	d a i			kill (pl.)	Bertet2020
247	to kill	Ticuna	Ticuna-Yuri	ma̰	ma̰	m a	2502	4164	m a			kill (sg.)	Bertet2020
248	lake	Ticuna	Ticuna-Yuri	-ʼtáʼa	-ʼtáʼa	ʔ t a ʔ a	1046	1722	ʔ t a ʔ a			[-tr.] lake	Bertet2020
249	to laugh	Ticuna	Ticuna-Yuri	kú	kú	k u	2541	4234	k u			laugh	Bertet2020
250	leaf	Ticuna	Ticuna-Yuri	nāiʼa̋tǖ	nāiʼa̋tǖ	n a i ʔ a t ɯ	1069	1749	n a i ʔ a t ɯ			tree leaf	Bertet2020
251	left (hand)	Ticuna	Ticuna-Yuri	tʼŏʼwe̋	tʼŏʼwe̋	t ʔ o ʔ w e	1085	1783	t ʔ o ʔ w e			left	Bertet2020
252	leg	Ticuna	Ticuna-Yuri	-pārà	-pārà	p a ɾ a	1102	1810	p a ɾ a			[-tr.] leg	Bertet2020
253	to lie	Ticuna	Ticuna-Yuri	kā	kā	k a	2548	4247	k a			lie	Bertet2020
254	long	Ticuna	Ticuna-Yuri	ma̰	ma̰	m a	1146	1869	m a - -			be long	Bertet2020
255	mother	Ticuna	Ticuna-Yuri	bûʼi̋	bûʼi̋ ∼ biʼ̂i̋	b u ʔ i	1217	1995	b u ʔ i			mother	Bertet2020
256	mother	Ticuna	Ticuna-Yuri	biʼ̂i̋	bûʼi̋ ∼ biʼ̂i̋	b i ʔ i	1217	1995	b i ʔ i			mother	Bertet2020
257	mother	Ticuna	Ticuna-Yuri	õ̀ʼe̋	õ̀ʼe̋	o ʔ e	1225	2004	- - o ʔ e			mother	Bertet2020
258	mother	Ticuna	Ticuna-Yuri	-é	-é	e	196	2005	- - e			[-tr.] mother	Bertet2020
259	mouth	Ticuna	Ticuna-Yuri	-a̰	-a̰	a	1263	2068	a			[-tr.] mouth	Bertet2020
260	name	Ticuna	Ticuna-Yuri	-e̋gà	-e̋gà	e g a	1283	2099	e g a			name	Bertet2020
261	neck	Ticuna	Ticuna-Yuri	-náʼa	-náʼa	n a ʔ a	1338	2172	n a ʔ a			[-tr.] neck	Bertet2020
262	one	Ticuna	Ticuna-Yuri	wiʼ́á	wiʼ́á	w i ʔ a	1456	2382	w i ʔ a			one	Bertet2020
263	other	Ticuna	Ticuna-Yuri	na̋i	na̋i	n a i	1470	2417	n a i			other (n)	Bertet2020
264	other	Ticuna	Ticuna-Yuri	nài	nài	n a i	1470	2417	n a i			other (f/m)	Bertet2020
265	other	Ticuna	Ticuna-Yuri	tò	tò	t o	1473	2420	t o			other (ns)	Bertet2020
266	person	Ticuna	Ticuna-Yuri	dùã̰	dùã̰	d u a	204	2444	d u - a			human	Bertet2020
267	to play	Ticuna	Ticuna-Yuri	iñ̄ ǖkà	iñ̄ ǖkà	i ɲ + ɯ k a	2573	4288 4289	i ɲ + ɯ k a			play	Bertet2020
268	to play	Ticuna	Ticuna-Yuri	pāʼü	pāʼü	p a ʔ ɯ	2578	4294	p a ʔ ɯ			play	Bertet2020
269	to pull	Ticuna	Ticuna-Yuri	tȕ	tȕ	t u	2585	4306	t u			pull	Bertet2020
270	to push	Ticuna	Ticuna-Yuri	kṵ	kṵ	k u	2600	4328	k u			push	Bertet2020
271	red	Ticuna	Ticuna-Yuri	dåu	dåu	d a u	1508	2479	d a u			be red	Bertet2020
272	right (hand)	Ticuna	Ticuna-Yuri	tǘgǖnè	tǘgǖnè	t ɯ g ɯ n e	1541	2538	t ɯ g ɯ n e			right	Bertet2020
273	root	Ticuna	Ticuna-Yuri	-ma̰	-ma̰	m a	1591	2616	m a			[+tr.] root	Bertet2020
274	rope	Ticuna	Ticuna-Yuri	-tṵ̈	-tṵ̈	t ɯ	1609	2650	t ɯ			[+tr.] rope	Bertet2020
275	say	Ticuna	Ticuna-Yuri	ū	ū	u	1679	2763	u			say	Bertet2020
276	to scratch (as with fingernails to relieve itch)	Ticuna	Ticuna-Yuri	chůʼu	chůʼu	tɕ u ʔ u	2628	4376	tɕ u ʔ u			scratch	Bertet2020
277	to scratch (as with fingernails to relieve itch)	Ticuna	Ticuna-Yuri	wü̏	wü̏	w ɯ	2633	4381	w ɯ			scratch	Bertet2020
278	see	Ticuna	Ticuna-Yuri	dău	dău	d aʊ	1715	2844	d aʊ ( - )			see	Bertet2020
279	short	Ticuna	Ticuna-Yuri	nûʼu	nûʼu	n u ʔ u	1771	2919	n u ʔ u			be short	Bertet2020
280	to sing	Ticuna	Ticuna-Yuri	ă	ă	a	2654	4412	a -			sing	Bertet2020
281	to sing	Ticuna	Ticuna-Yuri	wij ae	wiȳ aē ̄	w i ɦ + a e	2660	4418 4412	w i ɦ + a e			sing	Bertet2020
282	sit	Ticuna	Ticuna-Yuri	tŏ	tŏ	t o	1789	2946	t o			sit	Bertet2020
283	sleep	Ticuna	Ticuna-Yuri	pé	pé	p e	1836	3022	p e			sleep	Bertet2020
284	small	Ticuna	Ticuna-Yuri	ḭ	ḭ	i	1853	3053	i			be small	Bertet2020
285	small	Ticuna	Ticuna-Yuri	iʼ̏rà	iʼ̏rà	i ʔ ɾ a	1862	3062	i ʔ ɾ a			be small	Bertet2020
286	snake	Ticuna	Ticuna-Yuri	ã̄ʼtápē	ã̄ʼtápē	a ʔ t a p e	1908	3135	a ʔ t a p e			snake	Bertet2020
287	to spit	Ticuna	Ticuna-Yuri	fàʼi	fàʼi	kʷ a ʔ i	2683	4458	kʷ a ʔ i			spit	Bertet2020
288	to split	Ticuna	Ticuna-Yuri	bǘ	bǘ	b ɯ	2695	4480	b ɯ			split	Bertet2020
289	to stab (or stick)	Ticuna	Ticuna-Yuri	kă	kă	k a	2712	4518	k a			stab	Bertet2020
290	to stab (or stick)	Ticuna	Ticuna-Yuri	pài	pài	p a i	2716	4521	p a i			prick	Bertet2020
291	to stand	Ticuna	Ticuna-Yuri	chi̊	chi̊	tɕ i	2723	4530	tɕ i			stand	Bertet2020
292	straight	Ticuna	Ticuna-Yuri	wī	wī	w i	2000	3282	w i			be straight	Bertet2020
293	to swell	Ticuna	Ticuna-Yuri	châ	châ	tɕ a	2751	4579	tɕ a			swell	Bertet2020
294	to swim	Ticuna	Ticuna-Yuri	w̃ēʼe	w̃ēʼe	w e ʔ e	2770	4604	w e ʔ e			swim	Bertet2020
295	there	Ticuna	Ticuna-Yuri	chó	chó	tɕ o	2066	3399	tɕ o			be there (pl.)	Bertet2020
296	there	Ticuna	Ticuna-Yuri	ǘ	ǘ	ɯ	2075	3408	ɯ			be there (sg.)	Bertet2020
297	to think	Ticuna	Ticuna-Yuri	iñ̄ ǖ	iñ̄ ǖ	i ɲ + ɯ	2785	4632 4633	i ɲ + ɯ			think	Bertet2020
298	three	Ticuna	Ticuna-Yuri	tōma̋èpṵ̈	tōma̋èpṵ̈	t o m a e p ɯ	2171	3598	t o m a e p ɯ			three	Bertet2020
299	to throw	Ticuna	Ticuna-Yuri	ñà	ñà	ɲ a	2800	4663	ɲ a			throw	Bertet2020
300	to tie	Ticuna	Ticuna-Yuri	g̃à	g̃à	ŋ a	2819	4695	ŋ a -			tie	Bertet2020
301	to tie	Ticuna	Ticuna-Yuri	na̰i	na̰i	n a i	2819	4695	n a i			tie	Bertet2020
302	tongue	Ticuna	Ticuna-Yuri	ko̊nǖ	ko̊nǖ	k o n ɯ	2887	4825	k o n ɯ			tongue	Bertet2020
303	tooth (front rather than molar)	Ticuna	Ticuna-Yuri	-pǜtà	-pǜtà	p ɯ t a	2904	4857	p ɯ t a			tooth	Bertet2020
304	tree	Ticuna	Ticuna-Yuri	nâi	nâi	n aɪ	2926	4890	n aɪ			tree	Bertet2020
305	two	Ticuna	Ticuna-Yuri	tăʼré	tăʼré	t a ʔ ɾ e	2946	4941	t a ʔ ɾ e			be two	Bertet2020
306	two	Ticuna	Ticuna-Yuri	tăʼré	tăʼré	t a ʔ ɾ e	2946	4941	t a ʔ ɾ e			two	Bertet2020
307	to wash	Ticuna	Ticuna-Yuri	yàʼu	yàʼu	dʑ a ʔ u	2863	4787	dʑ a ʔ u			wash	Bertet2020
308	water	Ticuna	Ticuna-Yuri	dêʼa̋	dêʼa̋	d e ʔ a	2976	4990	d e ʔ a			water	Bertet2020
309	what?	Ticuna	Ticuna-Yuri	åkǘ	åkǘ	a k ɯ	3025	5087	- - a k ɯ			what/who? (ns)	Bertet2020
310	what?	Ticuna	Ticuna-Yuri	tèʼe̋	tèʼe̋	t e ʔ e	3033	5095	t e ʔ e			what/who? (s)	Bertet2020
311	what?	Ticuna	Ticuna-Yuri	tèʼè	tèʼè	t e ʔ e	3033	5095	t e ʔ e			what/who? (f/m)	Bertet2020
312	what?	Ticuna	Ticuna-Yuri	tṵ̈ákǘ	tṵ̈ákǘ	t ɯ a k ɯ	3025	5087	t ɯ a k ɯ			what? (ns)	Bertet2020
313	when?	Ticuna	Ticuna-Yuri	ñùʼgù	ñùʼgù	ɲ u ʔ g u	3038	5111	ɲ u ʔ g u			when?	Bertet2020
314	where?	Ticuna	Ticuna-Yuri	g̃èʼta̋	g̃èʼta̋	ŋ e ʔ t a	3057	5141	ŋ e ʔ t a			where? (aloc)	Bertet2020
315	where?	Ticuna	Ticuna-Yuri	g̃èʼtà	g̃èʼtà	ŋ e ʔ t a	3057	5141	ŋ e ʔ t a			where? (ploc)	Bertet2020
316	white	Ticuna	Ticuna-Yuri	cho̰	cho̰	tɕ o	3079	5178	tɕ o			be white	Bertet2020
317	white	Ticuna	Ticuna-Yuri	pŭʼu	pŭʼu	p u ʔ u	3060	5159	p u ʔ u			be white	Bertet2020
318	wife	Ticuna	Ticuna-Yuri	-ʼma̰	-ʼma̰(∼ -ma̰(?) ∼ -ma̽(?))	ʔ m a	3128	5264	ʔ m a			[-tr.]? wife	Bertet2020
319	wing	Ticuna	Ticuna-Yuri	-pachiʼḭ	-ʼpac̄ hiʼ̰i	p a tɕ i ʔ i	3163	5317	p a tɕ i ʔ i			[?] wing	Bertet2020
320	to wipe	Ticuna	Ticuna-Yuri	pi̊	pi̊	p i	2870	4804	p i			wipe	Bertet2020
321	worm	Ticuna	Ticuna-Yuri	ʼõ̆ʼmi̋	ʼõ̆ʼmi̋	ʔ o ʔ m i	3222	5414	ʔ o ʔ m i			worm	Bertet2020
322	year	Ticuna	Ticuna-Yuri	tàunēkǖ	tàunēkǖ	t a u n e k ɯ	3256	5480	t a u n e k ɯ			year	Bertet2020
323	yellow	Ticuna	Ticuna-Yuri	de̊ʼe	de̊ʼe	d e ʔ e	3270	5499	d e ʔ e - - -			be yellow	Bertet2020
324	tongue	Ocaina	Huitotoan	hĩɲṍṍʔɸɯ	hĩɲṍṍʔɸɯ	h i ɲ oː ʔ ɸ ɯ	2882	4820	h i ɲ oː ʔ ɸ ɯ			None	Huber2021
325	mouth	Ocaina	Huitotoan	ɸooɯ	ɸooɯ	ɸ oː ɯ	1257	2062	ɸ oː ɯ			None	Huber2021
326	tooth (front rather than molar)	Ocaina	Huitotoan	aʔtiiʔtʲo	aʔtiiʔtʲo	a.ʔ t iː.ʔ + tʲ o	2902	4855 551	a.ʔ t iː.ʔ + tʲ o			None	Huber2021
327	nose	Ocaina	Huitotoan	tʲooɸo	tʲooɸo	tʲ oː + ɸ o	1388	2264 1671	tʲ oː + ɸ o			None	Huber2021
328	eye	Ocaina	Huitotoan	ohɯ́ɯ́	ohɯ́ɯ́	o h ɯː	529	855	o h ɯː			None	Huber2021
329	ear	Ocaina	Huitotoan	xoɲõõ	xoɲõõ	x o ɲ oː	464	742	x o ɲ oː			None	Huber2021
330	head	Ocaina	Huitotoan	ooʔɸo	ooʔɸo	oː ʔ.ɸ o	912	1485	oː ʔ.ɸ o			None	Huber2021
331	neck	Ocaina	Huitotoan	ɲõmã́ã́ʔõ	ɲõmã́ã́ʔõ	ɲ o m aː + ʔ o	1332	2166 1651	( - - ) ɲ o m aː ( - - ) + ʔ o			I believe this means 'throat' / CLF:TUBULAR	Huber2021
332	belly	Ocaina	Huitotoan	gáɸotʲo	gáɸotʲo	g a ɸ o + tʲ o	158	266 1419	g a ɸ o + tʲ o			None	Huber2021
333	back (person's)	Ocaina	Huitotoan	hɯɯʔxo	hɯɯʔxo	h ɯː ʔ + x o	87	167 108	h ɯː ʔ - + x o			back-CLF:INHER	Huber2021
334	back (person's)	Ocaina	Huitotoan	hɯɯʔxomó	hɯɯʔxomó	h ɯː ʔ + x o + m o	87	167 108 1420	h ɯː ʔ - + x o + m o			back-CLF:INHER-LOC?	Huber2021
335	hand	Ocaina	Huitotoan	on̥õõ	on̥õõ	o n̥ oː	873	1395	o n̥ oː			None	Huber2021
336	hand	Ocaina	Huitotoan	on̥õõpo	on̥õõpo	o n̥ oː + p o	873	1395 1495	o n̥ oː + p o			None	Huber2021
337	leg	Ocaina	Huitotoan	odzákona	odzákona	o dz a + k o n a	1099	1807 1560	o dz a ( - - ) + k o n a			calf-CLF:TUBULAR	Huber2021
338	leg	Ocaina	Huitotoan	odzááβɯna	odzááβɯna	o dz aː + β ɯ n a	1099	1807 1563	o dz aː ( - - ) + β ɯ n a			calf-CLF:CYLINDRICAL.LARGE	Huber2021
339	foot	Ocaina	Huitotoan	ɯʔjóó	ɯʔjóó	ɯ ʔ j oː	742	1188	ɯ ʔ j oː			None	Huber2021
340	foot	Ocaina	Huitotoan	ɯʔjóóga	ɯʔjóóga	ɯ ʔ j oː + g a	742	1188 1462	ɯ ʔ j oː + g a			foot-CLF:(?) / CLF is optional	Huber2021
341	bone	Ocaina	Huitotoan	ɲõʔṍṍʔkoβo	ɲõʔṍṍʔkoβo	ɲ o ʔ oː + ʔ k o β o	292	475 1429	ɲ o ʔ oː + ʔ k o β o			None	Huber2021
342	blood	Ocaina	Huitotoan	tsihĩ́ĩ́	tsihĩ́ĩ́	ts i + h iː	271	424 1428	( - ) ts i + h iː			blood + CLF:G	Huber2021
343	heart	Ocaina	Huitotoan	xomɯ́ɯ́m̥õti	xomɯ́ɯ́m̥õti	x o m ɯː + m̥ o t i	934	1525 1531	x o m ɯː + m̥ o t i			heart-CLF:SPHERICAL.SMALL	Huber2021
344	woman	Ocaina	Huitotoan	maami	maami	m aː m i	3190	5361	m aː m i			None	Huber2021
345	husband	Ocaina	Huitotoan	õõna	õõna	oː n a	999	1634	oː n a			None	Huber2021
346	father	Ocaina	Huitotoan	mõõ	mõõ	m oː	581	930	m oː			None	Huber2021
347	father	Ocaina	Huitotoan	mõõhõ	mõõhõ	m oː + h o	581	930 856	m oː + h o			None	Huber2021
348	mother	Ocaina	Huitotoan	ɯìɯìdzaʔ	ɯìɯìdzaʔ	ɯ i ɯ i dz a ʔ	1213	1991	ɯ i ɯ i dz a ʔ			None	Huber2021
349	mother	Ocaina	Huitotoan	ã́ʔĩʔ	ã́ʔĩʔ	a ʔ i ʔ	1224	2002	a ʔ i ʔ			None	Huber2021
350	old	Ocaina	Huitotoan	haʔĩ́ĩ́m̥a	haʔĩ́ĩ́m̥a	h a ʔ iː + m̥ a	1427	2345 1673	h a ʔ iː + m̥ a			old-CLF:M	Huber2021
351	river	Ocaina	Huitotoan	maan̥ɯ	maan̥ɯ	m aː n̥ ɯ	1559	1697	m aː n̥ ɯ			None	Huber2021
352	river	Ocaina	Huitotoan	tʲaaɯ	tʲaaɯ	tʲ aː ɯ	1570	2576	tʲ aː ɯ			None	Huber2021
353	lake	Ocaina	Huitotoan	hõʔã́ã́hĩ	hõʔã́ã́hĩ	h o ʔ aː h i	1042	1725	h o ʔ aː ( h i )			Maybe lake-CLF:G	Huber2021
354	fire	Ocaina	Huitotoan	tʲaaro	tʲaaro	tʲ a + a r o	646	1456 1040	tʲ a + a r o			None	Huber2021
355	small	Ocaina	Huitotoan	síítiʔ	síítiʔ	s iː t i ʔ	1850	3050	s iː t i ʔ			None	Huber2021
356	small	Ocaina	Huitotoan	sóógo	sóógo	s oː g o	1842	3042	s oː g o			None	Huber2021
357	small	Ocaina	Huitotoan	tóógo	tóógo	t oː g o	1842	3042	t oː g o			None	Huber2021
358	small	Ocaina	Huitotoan	xaβi	xaβi	x a β i	1863	3063	x a β i			None	Huber2021
359	good	Ocaina	Huitotoan	ɸṍhɯ̃	ɸṍhɯ̃	ɸ o h ɯ	786	1262	ɸ o h ɯ			None	Huber2021
360	cloud	Ocaina	Huitotoan	haʔɸííʔo	haʔɸííʔo	h a ʔ ɸ iː ʔ o	325	527	h a ʔ ɸ iː ʔ o			None	Huber2021
361	cloud	Ocaina	Huitotoan	haʔɸiʔojíína	haʔɸiʔojíína	h a ʔ ɸ i ʔ o + j iː n a	325	527 1431	h a ʔ ɸ i ʔ o + j iː n a			None	Huber2021
362	cloud	Ocaina	Huitotoan	tsohóʔɯʔxa	tsohóʔɯʔxa	ts o h o ʔ ɯ ʔ x a	334	538	ts o h o ʔ ɯ ʔ x a			None	Huber2021
363	ashes	Ocaina	Huitotoan	oʔtiiʔi	oʔtiiʔi	o ʔ t iː ʔ i	59	102	( o ʔ ) t iː ʔ i			None	Huber2021
364	smoke (of fire)	Ocaina	Huitotoan	haʔɸííʔo	haʔɸííʔo	h a ʔ ɸ iː ʔ o	1870	3077	h a ʔ ɸ iː ʔ o			None	Huber2021
365	sky	Ocaina	Huitotoan	bɯm̥õɲ̥á	bɯm̥õɲ̥á	b ɯ + m̥ o ɲ̥ a	1813	300 2984	b ɯ + m̥ o ɲ̥ a			None	Huber2021
366	sky	Ocaina	Huitotoan	xɯtʲamóóɲ̥a	xɯtʲamóóɲ̥a	x ɯ + tʲ a + m oː ɲ̥ a	1813	301 305 2984	x ɯ + tʲ a + m oː ɲ̥ a			None	Huber2021
367	sky	Ocaina	Huitotoan	aam̥i	aam̥i	aː m̥ i	1823	2995	aː m̥ i			None	Huber2021
368	wind	Ocaina	Huitotoan	hɯβóódʲo	hɯβóódʲo	h ɯ β oː + dʲ o	3142	5287 1978	h ɯ β oː + dʲ o			None	Huber2021
369	wind	Ocaina	Huitotoan	hɯβṍṍ	hɯβṍṍ	h ɯ β oː	3142	5287	h ɯ β oː			None	Huber2021
370	sun	Ocaina	Huitotoan	nɯ́ɯ́na	nɯ́ɯ́na	n ɯː n a	2017	3311	n ɯː n a			None	Huber2021
371	star	Ocaina	Huitotoan	oʔxóóʔtʲo	oʔxóóʔtʲo	o.ʔ x oː.ʔ + tʲ o	1942	3180 378	o.ʔ x oː.ʔ ( - - ) + tʲ o			None	Huber2021
372	day (opposite of night rather than time measure)	Ocaina	Huitotoan	mooɲ̥a	mooɲ̥a	m oː ɲ̥ a	349	562	m oː ɲ̥ a			None	Huber2021
373	day (opposite of night rather than time measure)	Ocaina	Huitotoan	moɲ̥amó	moɲ̥amó	m o ɲ̥ a + m o	349	562 1432	m o ɲ̥ a + m o			None	Huber2021
374	night	Ocaina	Huitotoan	natʲṍ	natʲṍ	n a tʲ o	1369	2228	( - - - ) n a ɯː o ( - - - - )			None	Huber2021
375	earth (soil)	Ocaina	Huitotoan	aɲ̥õõʔɯ̃	aɲ̥õõʔɯ̃	a ɲ̥ oː ʔ ɯ	487	781	a ɲ̥ oː ʔ ɯ			Looks a lot like Boran words	Huber2021
376	stone	Ocaina	Huitotoan	gotɯ́ɯ́ʔxo	gotɯ́ɯ́ʔxo	g o t ɯː ʔ + x o	1978	3250 412	g o t ɯː.ʔ + x o			None	Huber2021
377	sand	Ocaina	Huitotoan	ʤíõõʔĩ	ʤíõõʔĩ	dʒ i oː + ʔ i	1655	2730 1706	dʒ i oː + ʔ i			sand-CLF:G	Huber2021
378	dog	Ocaina	Huitotoan	hõʔxo	hõʔxo	h o.ʔ x o	391	629	h o.ʔ x o			None	Huber2021
379	tail	Ocaina	Huitotoan	oʔoo	oʔoo	o ʔ oː	2038	3347	o ʔ oː			None	Huber2021
380	snake	Ocaina	Huitotoan	anɯ̃ʔtʲṍko	anɯ̃ʔtʲṍko	a n ɯ ʔ tʲ o k o	1904	3131	a n ɯ ʔ tʲ o k o			None	Huber2021
381	snake	Ocaina	Huitotoan	gõhṍṍʔĩʔtsi	gõhṍṍʔĩʔtsi	g o h oː ʔ i ʔ ts i	1915	3142	g o h oː ʔ i ʔ ts i			None	Huber2021
382	snake	Ocaina	Huitotoan	tʲorooʔo	tʲorooʔo	tʲ o r oː ʔ o	1916	3143	tʲ o r oː ʔ o			None	Huber2021
383	bird	Ocaina	Huitotoan	tʲaɸon̥õhɯ̃́ʔ ããʔtsi	tʲaɸon̥õhɯ̃́ʔ ããʔtsi	tʲ + a ɸ o + n̥ o h ɯ ʔ + aː ʔ ts i	218	1425 371 359 360	tʲ + a ɸ o + n̥ o h ɯ ʔ + aː ʔ ts i			3/INAN	Huber2021
384	bird	Ocaina	Huitotoan	aɸótsoji	aɸótsoji	a ɸ o + ts o j i	229	371 1422	a ɸ o + ts o j i			None	Huber2021
385	bird	Ocaina	Huitotoan	dʲáʔiiʔta	dʲáʔiiʔta	dʲ + a ʔ iː ʔ t a	231	1425 373	dʲ + a ʔ iː ʔ t a			3.INAN	Huber2021
386	say	Ocaina	Huitotoan	ɯ̃ɯ̃	ɯ̃ɯ̃	ɯː	1675	2760	ɯː			None	Huber2021
387	say	Ocaina	Huitotoan	ãã	ãã	aː	1683	2768	aː			None	Huber2021
388	fish	Ocaina	Huitotoan	ĩhããm̥a	ĩhããm̥a	i h aː m̥ a	667	1067	i h aː m̥ a			None	Huber2021
389	louse	Ocaina	Huitotoan	oʔɸóóxako	oʔɸóóxako	o.ʔ ɸ oː + x a + k o	1152	1898 1579 1580	o.ʔ ɸ oː + x a + k o			?-NMLZ?-SINGULATIVE	Huber2021
390	tree	Ocaina	Huitotoan	am̥ɯ̃ɯ̃ɲ̥a	am̥ɯ̃ɯ̃ɲ̥a	a m̥ ɯː + ɲ̥ a	2914	4885 1884	a m̥ ɯː ( - - ) + ɲ̥ a			None	Huber2021
391	leaf	Ocaina	Huitotoan	opaaβi	opaaβi	o p aː + β i	1063	1553 1555	o p aː + β i			?-CLF:FLAT	Huber2021
392	flower	Ocaina	Huitotoan	tsĩ́ĩ́	tsĩ́ĩ́	ts iː	710	1137	ts iː			None	Huber2021
393	to rub	Ocaina	Huitotoan	dʲããhɯ̃	dʲããhɯ̃	dʲ aː h ɯ	2614	4357	dʲ aː h ɯ			None	Huber2021
394	to rub	Ocaina	Huitotoan	hɯxãã	hɯxãã	h ɯ x aː	2623	4366	h ɯ x aː			None	Huber2021
